"Deal_ID","Created_Date","Close_Date","Fiscal_Year","Quarter","Month","Sales_Rep","Manager","Region","City","Customer_Name","Industry","Customer_Type","Is_New_Customer","Product_Name","Product_Category","Deal_Size_Tier","Pipeline_Stage","Win_Probability_%","Deal_Status","Contract_Value_VND","Discount_%","Discount_Amount_VND","Net_Revenue_VND","Cost_of_Sale_VND","Gross_Profit_VND","Gross_Margin_%","Payment_Terms","Payment_Collected_VND","Outstanding_Balance_VND","Sales_Cycle_Days","Lead_Source","Lost_Reason","Forecast_Category","Activities_Count","Last_Activity_Date","Customer_Satisfaction","NPS_Score","Contract_Renewed","Upsell_Opportunity","Next_Follow_Up_Date","Notes"
"DEAL-00011",2024-02-25,2024-06-20,"FY2024","Q1","Feb","Phạm Thị Thu","Hoàng Văn Đức","Miền Trung","Đà Nẵng","Tập đoàn Quảng Ninh","Technology","B2B","Yes","IT Support Contract","Services","Mid-Market","Closed Won",100,"Won",658861000,4.3,28331000,630530000,183043000,447487000,70.97,"Monthly Subscription",586393000,44137000,116,"Upsell/Cross-sell","N/A","Closed",24,2024-05-27,4.9,26,"Yes","No",,"Hợp đồng đã ký"
"DEAL-00012",2024-02-22,2024-08-05,"FY2024","Q1","Feb","Bùi Thị Mai","Vũ Thị Hoa","Tây Nguyên","Nha Trang","Công ty TNHH Hải Đăng","Real Estate","B2B","No","ERP Software License","Software","SMB","Closed Won",100,"Won",177912000,15.2,27043000,150869000,41444000,109425000,72.53,"Net 30",85995000,64874000,165,"Inbound Lead","N/A","Closed",12,2024-07-07,3.8,7,"No","No",,
"DEAL-00013",2024-01-05,2024-01-24,"FY2024","Q1","Jan","Hoàng Văn Đức","Bùi Thị Mai","Miền Nam","Bình Dương","Tập đoàn Tân Việt","Technology","B2B","No","Cloud Hosting Package","Cloud","Enterprise","Prospecting",5,"Open",2681886000,2.1,56320000,2625566000,1079108000,1546458000,58.9,"Net 60",446346000,2179220000,19,"Direct Sales","N/A","Pipeline",10,2023-12-26,2.4,7,"No","No",2024-03-21,"Hợp đồng đã ký"
"DEAL-00014",2024-09-26,2024-12-31,"FY2024","Q3","Sep","Cao Văn Phong","Hoàng Văn Đức","Miền Nam","Hà Nội","Tập đoàn Phú Mỹ","Technology","B2G","No","POS System","Hardware","SMB","Qualification",15,"Open",103772000,0.5,519000,103253000,24646000,78607000,76.13,"Net 60",16520000,86733000,104,"Event/Trade Show","N/A","Pipeline",12,2024-12-24,1.1,8,"No","No",2025-01-08,"Hợp đồng đã ký"
"DEAL-00015",2024-04-12,2024-08-13,"FY2024","Q2","Apr","Mai Văn Long","Lê Văn Minh","Tây Nguyên","Đồng Nai","Công ty TNHH Hải Đăng","Real Estate","B2G","No","HR Management Suite","Software","Enterprise","Closed Won",100,"Won",1627764000,5.5,89527000,1538237000,447627000,1090610000,70.9,"Milestone",1276737000,261500000,123,"Partner Referral","N/A","Closed",23,2024-08-05,3.9,12,"No","No",,
"DEAL-00016",2024-12-26,2024-12-31,"FY2024","Q4","Dec","Trịnh Thị Trang","Trần Thị Lan","Tây Nguyên","Đà Nẵng","Công ty CP Kim Long","Technology","B2G","No","IT Support Contract","Services","Enterprise","Proposal",50,"Open",4649629000,16.1,748590000,3901039000,1732842000,2168197000,55.58,"Upfront",156042000,3744997000,137,"Direct Sales","N/A","Best Case",4,2024-12-14,3.1,14,"No","Yes",2025-03-10,
"DEAL-00017",2024-12-29,2024-12-31,"FY2024","Q4","Dec",,"Vũ Thị Hoa","Tây Nguyên","Đồng Nai","Công ty CP Đông Phong","Education","B2B","No","Mobile App Development","Services","SMB","Prospecting",5,"Open",43116000,12,5174000,37942000,12475000,25467000,67.12,"Annual Subscription",11383000,26559000,155,"Cold Outreach","N/A","Pipeline",28,2024-12-26,2.4,-18,"No","No",2025-02-01,"Cần demo sản phẩm"
"DEAL-00018",2024-08-25,2024-11-17,"FY2024","Q3","Aug","Đinh Văn Quân","Trần Thị Lan","Miền Bắc","Hải Phòng","Tập đoàn Bình Dương","Finance","B2B","No","IT Infrastructure","Hardware","Enterprise","Qualification",15,"Open",1303078000,15.7,204583000,1098495000,237495000,8.61e+08,78.38,"Milestone",230684000,867811000,84,"Upsell/Cross-sell","N/A","Pipeline",27,2024-10-25,4,19,"No","No",2024-12-11,"Hợp đồng đã ký"
"DEAL-00019",2024-01-15,2024-06-05,"FY2024","Q1","Jan","Ngô Văn Phú","Đặng Văn Nam","Tây Nguyên","Đồng Nai","Công ty CP Đông Phong","F&B","B2B","No","Cloud Hosting Package","Cloud","Enterprise","Closed Won",100,"Won",3055447000,9.6,293323000,2762124000,1176112000,1586012000,57.42,"Annual Subscription",1795381000,966743000,142,"Upsell/Cross-sell","N/A","Closed",2,2024-05-21,4,9,"No","No",,
"DEAL-00020",2024-04-04,2024-09-19,"FY2024","Q2","Apr","Lê Văn Minh","Nguyễn Văn Hùng","Miền Trung","Đồng Nai","Công ty TNHH Hoàng Anh","Education","B2B","Yes","CRM System","Software","Enterprise","Needs Analysis",30,"Open",2614021000,14.3,373805000,2240216000,521074000,1719142000,76.74,"Milestone",448043000,1792173000,168,"Inbound Lead","N/A","Pipeline",29,2024-08-21,3.8,5,"No","No",2024-10-12,"Khách hàng tiềm năng cao"
"DEAL-00021",2024-12-25,2024-12-31,"FY2024","Q4","Dec","Lê Thị Oanh","Nguyễn Văn Hùng","Miền Trung","Hà Nội","Công ty CP Bắc Ninh Tech","Manufacturing","B2B","No","Accounting Software","Software","Mid-Market","Closed Won",100,"Won",440094000,15.3,67334000,372760000,132926000,239834000,64.34,"Monthly Subscription",201290000,171470000,57,"Cold Outreach","N/A","Closed",10,2024-12-24,3.8,39,"No","No",,"Cần demo sản phẩm"
"DEAL-00022",2024-12-02,2024-12-31,"FY2024","Q4","Dec","Lê Văn Minh","Đặng Văn Nam","Tây Nguyên","Hải Phòng","Công ty TNHH Hải Đăng","Healthcare","B2B","No","Warehouse Management","Software","SMB","Closed Won",100,"Won",33206000,18.4,6110000,27096000,10879000,16217000,59.85,"Upfront",24657000,2439000,121,"Cold Outreach","N/A","Closed",24,2024-12-16,3.7,-18,"No","No",,"Đang chờ phê duyệt ngân sách"
"DEAL-00023",2024-01-22,2024-02-07,"FY2024","Q1","Jan","Phạm Văn Thắng","Lê Văn Minh","Miền Nam","Hồ Chí Minh","Công ty TNHH Nha Trang","Logistics","B2B","No","POS System","Hardware","Enterprise","Negotiation",75,"Open",1531454000,0,0,1531454000,758070000,773384000,50.5,"Milestone",122516000,1408938000,16,"Partner Referral","N/A","Best Case",20,2024-01-12,3.4,-22,"No","Yes",2024-03-02,"Hợp đồng đã ký"
"DEAL-00024",2024-09-02,2024-10-30,"FY2024","Q3","Sep","Mai Văn Long","Vũ Thị Hoa","Miền Bắc","Hồ Chí Minh","Công ty CP Đông Phong","Healthcare","B2G","No","Cloud Hosting Package","Cloud","SMB","Negotiation",75,"Open",23175000,11.9,2758000,20417000,5756000,14661000,71.81,"Net 30",4288000,16129000,58,"Partner Referral","N/A","Best Case",16,2024-10-16,2.2,-5,"No","No",2024-12-03,
"DEAL-00025",2024-01-24,2024-04-12,"FY2024","Q1","Jan","Hoàng Văn Đức","Đặng Văn Nam","Miền Nam","Hồ Chí Minh","Công ty CP Kim Long","Construction","B2B","Yes","POS System","Hardware","Enterprise","Needs Analysis",30,"Open",3883696000,10.3,400021000,3483675000,924567000,2559108000,73.46,"Net 60",696735000,2786940000,79,"Digital Lead","N/A","Pipeline",6,2024-03-14,3.5,-49,"No","No",2024-06-09,"Hợp đồng đã ký"
"DEAL-00026",2024-04-26,2024-09-13,"FY2024","Q2","Apr","Hoàng Văn Đức","Nguyễn Văn Hùng","Tây Nguyên","Đà Nẵng","Công ty CP Đồng Nai","Technology","B2B","No","ERP Software License","Software","Enterprise","Closed Lost",0,"Lost",3893100000,19,739689000,3153411000,989225000,2164186000,68.63,"Milestone",851421000,2301990000,140,"Partner Referral","Requirements mismatch","Omitted",24,2024-08-24,3.3,8,"No","No",,"Khách hàng tiềm năng cao"
"DEAL-00027",2024-02-04,2024-03-04,"FY2024","Q1","Feb","Mai Văn Long","Nguyễn Văn Hùng","Miền Bắc","Hải Phòng","Tập đoàn Mỹ Hưng","Construction","B2B","Yes","Cloud Hosting Package","Cloud","Enterprise","Proposal",50,"Open",1930168000,18,347430000,1582738000,749585000,833153000,52.64,"Milestone",300720000,1282018000,29,"Inbound Lead","N/A","Best Case",6,2024-03-04,2.3,-11,"No","No",2024-05-05,"Cần demo sản phẩm"
"DEAL-00028",2024-03-20,2024-04-27,"FY2024","Q1","Mar","Cao Văn Phong","Hoàng Văn Đức","Miền Bắc","Cần Thơ","Công ty CP Thái Bình Dương","Real Estate","B2G","Yes","BI Dashboard Solution","Software","SMB","Negotiation",75,"Open",52578000,16.8,8833000,43745000,20455000,23290000,53.24,"Milestone",8749000,34996000,38,"Inbound Lead","N/A","Best Case",6,2024-04-18,2.4,-14,"No","No",2024-05-13,"Đang chờ phê duyệt ngân sách"
"DEAL-00029",2024-04-29,2024-06-21,"FY2024","Q2","Apr","Nguyễn Thị Nhung","Trần Thị Lan","Miền Bắc","Cần Thơ","Công ty CP Đông Phong","F&B","B2B","No","E-commerce Platform","Software","Mid-Market","Prospecting",5,"Open",881569000,10.8,95209000,786360000,214991000,571369000,72.66,"Net 60",125818000,660542000,53,"Digital Lead","N/A","Pipeline",3,2024-05-27,2.7,2,"No","No",2024-07-07,
"DEAL-00030",2024-05-18,2024-08-06,"FY2024","Q2","May","Dương Thị Hạnh","Ngô Văn Phú","Tây Nguyên","Bình Dương","Công ty TNHH Hải Phòng","Real Estate","B2B","No","E-commerce Platform","Software","SMB","Qualification",15,"Open",164961000,15.8,26064000,138897000,32960000,105937000,76.27,"Upfront",19446000,119451000,80,"Digital Lead","N/A","Pipeline",13,2024-08-02,2.5,14,"No","No",2024-09-28,
"DEAL-00031",2024-06-02,2024-09-22,"FY2024","Q2","Jun","Hoàng Văn Đức","Nguyễn Văn Hùng","Miền Nam","Đồng Nai","Tập đoàn Phú Mỹ","Construction","B2B","No","E-commerce Platform","Software","Mid-Market","Closed Won",100,"Won",376174000,14.4,54169000,322005000,156881000,165124000,51.28,"Upfront",177103000,144902000,112,"Event/Trade Show","N/A","Closed",18,2024-09-05,3.3,43,"No","No",,"Cần demo sản phẩm"
"DEAL-00032",2024-07-30,2024-12-31,"FY2024","Q3","Jul","Đinh Văn Quân","Nguyễn Văn Hùng","Miền Trung","Hải Phòng","Tập đoàn Quảng Ninh","Healthcare","B2B","Yes","BI Dashboard Solution","Software","SMB","Needs Analysis",30,"Open",195286000,9.1,17771000,177515000,87071000,90444000,50.95,"Monthly Subscription",44379000,133136000,175,"Partner Referral","N/A","Pipeline",26,2024-12-21,1.9,29,"No","No",2025-03-24,
"DEAL-00033",2024-04-25,2024-06-02,"FY2024","Q2","Apr","Trịnh Thị Trang","Phạm Thị Thu","Miền Nam","Cần Thơ","Công ty TNHH Hải Phòng","Real Estate","B2B","No","IT Infrastructure","Hardware","Enterprise","Qualification",15,"Open",2208771000,7.5,165658000,2043113000,674840000,1368273000,66.97,"Monthly Subscription",306467000,1736646000,38,"Event/Trade Show","N/A","Pipeline",27,2024-05-10,2.1,29,"No","No",2024-07-21,"Hợp đồng đã ký"
"DEAL-00034",2024-06-28,2024-08-08,"FY2024","Q2","Jun","Hoàng Thị Linh","Phạm Thị Thu","Miền Trung","Hải Phòng","Tập đoàn Quảng Ninh","Construction","B2G","No","BI Dashboard Solution","Software","Mid-Market","Negotiation",75,"Open",446255000,15.4,68723000,377532000,107634000,269898000,71.49,"Milestone",49079000,328453000,41,"Upsell/Cross-sell","N/A","Best Case",8,2024-07-20,3.5,5,"No","No",2024-10-10,"Cần demo sản phẩm"
"DEAL-00035",2024-01-07,2024-04-12,"FY2024","Q1","Jan","Phạm Thị Thu","Bùi Thị Mai","Miền Nam","Đồng Nai","Tập đoàn Phú Mỹ","F&B","B2G","No","CRM System","Software","SMB","Negotiation",75,"Open",190598000,7.7,14676000,175922000,67026000,108896000,61.9,"Net 60",12315000,163607000,96,"Event/Trade Show","N/A","Best Case",8,2024-04-12,1.1,-47,"No","No",2024-06-09,
"DEAL-00036",2024-03-13,2024-07-17,"FY2024","Q1","Mar","Trần Thị Lan","Bùi Thị Mai","Miền Trung","Cần Thơ","Công ty TNHH Hoàng Anh","Real Estate","B2B","No","Accounting Software","Software","Enterprise","Prospecting",5,"Open",1529821000,18.9,289136000,1240685000,542303000,698382000,56.29,"Annual Subscription",124068000,1116617000,126,"Upsell/Cross-sell","N/A","Pipeline",14,2024-06-18,2.9,-21,"No","No",2024-07-29,"Cần demo sản phẩm"
"DEAL-DUPLICATE",2025-06-01,2024-07-20,"FY2024","Q1","Mar","Nguyễn Văn Hùng","Dương Thị Hạnh","Miền Nam","Hải Phòng","Công ty CP Cần Thơ Holdings","Other","B2B","No","BI Dashboard Solution","Software","Mid-Market","Needs Analysis",30,"Open",622671000,0,38606000,584065000,233042000,351023000,60.1,"Net 60",40885000,543180000,138,"Partner Referral","N/A","Pipeline",11,2024-06-22,1.1,18,"No","No",2024-08-24,
"DEAL-00038",2024-11-30,2024-12-31,"FY2024","Q4","Nov","Phạm Thị Thu","Trần Thị Lan","Miền Trung","Đồng Nai","Tập đoàn Đà Nẵng","F&B","B2G","Yes","E-commerce Platform","Software","Mid-Market","Qualification",15,"Open",733630000,10.7,78498000,655132000,243054000,412078000,62.9,"Net 60",163783000,491349000,40,"Direct Sales","N/A","Pipeline",2,2024-12-20,3.5,-19,"No","Yes",2025-01-28,
"DEAL-00039",2024-09-20,2024-12-12,"FY2024","Q3","Sep","Vũ Thị Hoa","Ngô Văn Phú","Tây Nguyên","Bình Dương","Tập đoàn Quảng Ninh","Technology","B2B","No","BI Dashboard Solution","Software","SMB","Closed Lost",0,"Lost",74997000,19.1,14324000,60673000,26162000,34511000,56.88,"Net 60",1820000,58853000,83,"Partner Referral","Price too high","Omitted",17,2024-11-20,1.6,-34,"No","Yes",,"Hợp đồng đã ký"
"DEAL-00040",2024-09-21,2024-11-09,"FY2024","Q3","Sep","Trần Thị Lan","Bùi Thị Mai","Tây Nguyên","Cần Thơ","Tập đoàn Quảng Ninh","Finance","B2G","No","Cloud Hosting Package","Cloud","Mid-Market","Negotiation",75,"Open",886152000,5.3,46966000,839186000,288344000,550842000,65.64,"Net 30",16784000,822402000,49,"Inbound Lead","N/A","Best Case",7,2024-10-30,1.2,-17,"No","No",2024-12-16,"Đang chờ phê duyệt ngân sách"
"DEAL-00041",2024-01-01,2024-04-30,"FY2024","Q1","Jan","Mai Văn Long","Phạm Thị Thu","Miền Trung","Nha Trang","Công ty CP Thành Đông","Construction","B2G","No","HR Management Suite","Software","Enterprise","Negotiation",75,"Open",4203927000,13.6,571734000,3632193000,1090748000,2541445000,69.97,"Upfront",0,3632193000,120,"Event/Trade Show","N/A","Best Case",19,2024-04-24,3.5,-32,"No","No",2024-07-13,"Khách hàng tiềm năng cao"
"DEAL-00042",2024-06-06,2024-09-06,"FY2024","Q2","Jun","Vũ Thị Hoa","Nguyễn Văn Hùng","Miền Trung","Hồ Chí Minh","Công ty TNHH Hải Đăng","Logistics","B2B","No","CRM System","Software","Mid-Market","Closed Won",100,"Won",985003000,18.2,179271000,805732000,170009000,635723000,78.9,"Net 60",733216000,72516000,92,"Cold Outreach","N/A","Closed",21,2024-08-07,4.3,23,"No","No",,
"DEAL-00043",2024-12-14,2024-12-31,"FY2024","Q4","Dec","Đặng Văn Nam","Đặng Văn Nam","Miền Bắc","Đồng Nai","Công ty CP Thành Đông","Manufacturing","B2G","No","Cybersecurity Package","Security","Mid-Market","Qualification",15,"Open",340881000,10.5,35793000,305088000,76638000,228450000,74.88,"Upfront",30509000,274579000,179,"Digital Lead","N/A","Pipeline",12,2024-12-25,1.4,-35,"No","No",2025-02-24,"Cần demo sản phẩm"
"DEAL-00044",2024-03-04,2024-07-19,"FY2024","Q1","Mar","Lê Thị Oanh","Phạm Thị Thu","Tây Nguyên","Hà Nội","Công ty TNHH Gia Bảo","Manufacturing","B2B","No","Mobile App Development","Services","SMB","Needs Analysis",30,"Open",100588000,19.5,19615000,80973000,26818000,54155000,66.88,"Monthly Subscription",17814000,63159000,137,"Digital Lead","N/A","Pipeline",4,2024-07-19,2.3,-22,"No","No",2024-08-07,"Hợp đồng đã ký"
"DEAL-00045",2024-04-26,2024-05-25,"FY2024","Q2","Apr","Mai Văn Long","Nguyễn Văn Hùng","Tây Nguyên","Cần Thơ","Công ty CP Á Đông","Healthcare","B2B","No","E-commerce Platform","Software","Mid-Market","Qualification",15,"Open",286807000,11.5,32983000,253824000,81731000,172093000,67.8,"Monthly Subscription",48227000,205597000,29,"Upsell/Cross-sell","N/A","Pipeline",15,2024-04-29,2.4,-47,"No","No",2024-06-14,
"DEAL-00046",2024-10-12,2024-12-31,"FY2024","Q4","Oct","Đặng Văn Nam","Bùi Thị Mai","Tây Nguyên","Hà Nội","Tập đoàn Sông Hồng","Finance","B2B","Yes","IT Support Contract","Services","Enterprise","Closed Won",100,"Won",3579615000,19.3,690866000,2888749000,1268161000,1620588000,56.1,"Monthly Subscription",1675474000,1213275000,115,"Partner Referral","N/A","Closed",16,2024-12-21,4.8,56,"No","No",,"Hợp đồng đã ký"
"DEAL-00047",2024-08-18,2024-11-19,"FY2024","Q3","Aug","Trần Thị Lan","Đặng Văn Nam","Miền Bắc","Cần Thơ","Tập đoàn Sông Hồng","F&B","B2B","No","IT Infrastructure","Hardware","Mid-Market","Closed Lost",0,"Lost",764616000,15.1,115457000,649159000,185789000,463370000,71.38,"Monthly Subscription",162290000,486869000,93,"Upsell/Cross-sell","No response","Omitted",4,2024-11-07,3.5,-27,"No","No",,
"DEAL-00048",2024-01-22,2024-05-21,"FY2024","Q1","Jan","Trần Thị Lan","Nguyễn Văn Hùng","Miền Bắc","Bình Dương","Công ty CP Thành Đông","F&B","B2B","No","Data Analytics Platform","Software","Mid-Market","Needs Analysis",30,"Open",981709000,9.5,93262000,888447000,349160000,539287000,60.7,"Milestone",213227000,675220000,120,"Event/Trade Show","N/A","Pipeline",11,2024-05-18,1.8,-23,"No","Yes",2024-05-31,
"DEAL-00049",2024-04-09,2024-07-03,"FY2024","Q2","Apr","Bùi Thị Mai","Ngô Văn Phú","Miền Nam","Hồ Chí Minh","Công ty TNHH Hải Phòng","Education","B2B","Yes","ERP Software License","Software","Enterprise","Needs Analysis",30,"Open",2528860000,14.2,359098000,2169762000,582147000,1587615000,73.17,"Net 60",368860000,1800902000,85,"Digital Lead","N/A","Pipeline",29,2024-06-28,2.2,-45,"No","No",2024-07-10,"Đang chờ phê duyệt ngân sách"
"DEAL-00050",2024-03-26,2024-04-21,"FY2024","Q1","Mar","Vũ Thị Hoa","Hoàng Văn Đức","Miền Trung","Hồ Chí Minh","Công ty CP Thái Bình Dương","Retail","B2B","No","BI Dashboard Solution","Software","Mid-Market","Qualification",15,"Open",295767000,5.5,16267000,279500000,104449000,175051000,62.63,"Net 60",44720000,234780000,26,"Partner Referral","N/A","Pipeline",26,2024-03-25,4,-9,"No","No",2024-05-06,"Cần demo sản phẩm"
"DEAL-00051",2024-06-23,2024-12-10,"FY2024","Q2","Jun","Trần Văn Tuấn","Dương Thị Hạnh","Miền Bắc","Nha Trang","Tập đoàn Quảng Ninh","Real Estate","B2B","Yes","IT Support Contract","Services","Mid-Market","Closed Lost",0,"Lost",276005000,8.6,23736000,252269000,113546000,138723000,54.99,"Net 60",12613000,239656000,170,"Event/Trade Show","Internal decision change","Omitted",11,2024-12-04,3.9,-35,"No","No",,"Hợp đồng đã ký"
"DEAL-00052",2024-11-25,2024-12-31,"FY2024","Q4","Nov","Ngô Văn Phú","Lê Văn Minh","Miền Trung","Hồ Chí Minh","Công ty CP Cần Thơ Holdings","F&B","B2B","No","Cloud Hosting Package","Cloud","Enterprise","Negotiation",75,"Open",3049136000,6,182948000,2866188000,605339000,2260849000,78.88,"Net 30",429928000,2436260000,64,"Inbound Lead","N/A","Best Case",9,2024-12-29,3.7,-21,"No","Yes",2025-02-15,
"DEAL-00053",2024-02-28,2024-04-29,"FY2024","Q1","Feb","Dương Thị Hạnh","Vũ Thị Hoa","Miền Bắc","Hồ Chí Minh","Công ty CP Đông Phong","Technology","B2B","No","POS System","Hardware","Mid-Market","Closed Won",100,"Won",350236000,16,56038000,294198000,104558000,189640000,64.46,"Net 60",197113000,97085000,61,"Upsell/Cross-sell","N/A","Closed",28,2024-04-07,3,-3,"Yes","Yes",,"Cần demo sản phẩm"
"DEAL-00054",2024-09-25,2024-12-31,"FY2024","Q3","Sep","Trần Văn Tuấn","Vũ Thị Hoa","Miền Nam","Nha Trang","Công ty TNHH Gia Bảo","Real Estate","B2B","Yes","Mobile App Development","Services","Mid-Market","Closed Won",100,"Won",642278000,0.7,4496000,637782000,130937000,506845000,79.47,"Monthly Subscription",529359000,108423000,112,"Upsell/Cross-sell","N/A","Closed",16,2024-12-02,4.4,53,"Yes","No",,"Cần demo sản phẩm"
"DEAL-00055",2024-07-12,2024-09-05,"FY2024","Q3","Jul","Hoàng Văn Đức","Vũ Thị Hoa","Tây Nguyên","Đồng Nai","Tập đoàn Tân Việt","Retail","B2B","Yes","Warehouse Management","Software","Enterprise","Negotiation",75,"Open",1821986000,7.6,138471000,,567850000,1115665000,66.27,"Net 30",134681000,1548834000,55,"Event/Trade Show","N/A","Best Case",13,2024-08-06,3,-2,"No","Yes",2024-10-21,
"DEAL-00056",2024-08-27,2024-11-03,"FY2024","Q3","Aug","Hoàng Thị Linh","Hoàng Văn Đức","Miền Nam","Nha Trang","Công ty CP Cần Thơ Holdings","Healthcare","B2B","No","CRM System","Software","Mid-Market","Needs Analysis",30,"Open",675121000,13.1,88441000,586680000,161748000,424932000,72.43,"Net 60",134936000,451744000,68,"Upsell/Cross-sell","N/A","Pipeline",10,2024-11-03,2.3,19,"No","No",2025-01-08,
"DEAL-00057",2024-08-19,2024-10-02,"FY2024","Q3","Aug","Nguyễn Thị Nhung","Dương Thị Hạnh","Miền Nam","Hà Nội","Tập đoàn Bình Dương","Retail","B2B","Yes","ERP Software License","Software","Enterprise","Proposal",50,"Open",3272715000,9.2,301090000,2971625000,1212423000,1759202000,59.2,"Annual Subscription",802339000,2169286000,44,"Digital Lead","N/A","Best Case",21,2024-09-26,1.7,-13,"No","No",2024-11-16,"Hợp đồng đã ký"
